id,email,first_name,last_name,phone,dob,default_billing,default_shipping,group,gender,status,created_at
150,gberry@hotmail.om.test,Grace,Berry,+1-694-239-5062,1994-10-28,4,3,Wholesale,"{'last_name': 'Jordan', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
151,eliot.blevins@gmx.ch.test,Eliot,Blevins,+1-487-757-3009,1999-03-19,1,2,Wholesale,"{'last_name': 'Renaud', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
152,pauldaniel@mailfence.com.test,Paul,Daniel,+1-782-513-8475,1966-01-26,1,5,Retailer,"{'last_name': 'Dawson', 'gender': 'M'}",Active,2025-12-12 16:43:11
153,yaraheath@live.com.mx.test,Yara,Heath,+1-827-257-7124,1956-12-20,4,4,Wholesale,"{'last_name': 'Mack', 'gender': 'F'}",Active,2025-12-12 16:43:11
154,dmay@hanmail.net.test,Dante,May,+1-438-695-7051,1982-06-26,3,4,VIP,"{'last_name': 'Newman', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
155,imarston@hotmail.be.test,Izabella,Marston,+1-421-528-8213,1982-02-10,1,4,General,"{'last_name': 'Doyle', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
156,helena417@yahoo.com.test,Helena,Vargas,+1-670-494-7384,1981-09-05,4,1,Retailer,"{'last_name': 'Robertson', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
157,memphis.hayes@runbox.com.test,Memphis,Hayes,+1-933-605-5471,1954-01-05,1,5,Wholesale,"{'last_name': 'Key', 'gender': 'M'}",Active,2025-12-12 16:43:11
158,viviana.witt@hotmail.co.nz.test,Viviana,Witt,+1-417-607-4070,1973-12-22,2,4,General,"{'last_name': 'Byers', 'gender': 'M'}",Active,2025-12-12 16:43:11
159,violeta898@proton.me.test,Violeta,Dotson,+1-300-333-2127,1958-01-21,3,1,General,"{'last_name': 'Richards', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
160,emily855@hotmail.se.test,Emily,Lamb,+1-456-434-1290,1982-09-29,2,4,Retailer,"{'last_name': 'Peterson', 'gender': 'M'}",Active,2025-12-12 16:43:11
161,scopeland@tpg.com.au.test,Sage,Copeland,+1-785-608-8908,1995-02-03,3,4,VIP,"{'last_name': 'Stephenson', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
162,sverregilliam@mailfence.com.test,Sverre,Gilliam,+1-897-730-9676,1978-06-02,4,1,VIP,"{'last_name': 'Meyer', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
163,oscar940@gmx.de.test,Oscar,Foley,+1-318-681-1733,1974-11-19,3,1,Wholesale,"{'last_name': 'Richardson', 'gender': 'M'}",Active,2025-12-12 16:43:11
164,mobrien@gmail.id.test,Madisyn,Obrien,+1-812-398-3945,1969-10-31,3,4,Retailer,"{'last_name': 'Stein', 'gender': 'M'}",Active,2025-12-12 16:43:11
165,maya823@uol.com.br.test,Maya,Pate,+1-876-978-2801,2003-05-18,2,3,General,"{'last_name': 'Chase', 'gender': 'F'}",Active,2025-12-12 16:43:11
166,jayce.martinez@telia.com.test,Jayce,Martinez,+1-280-286-3131,1989-02-20,1,2,General,"{'last_name': 'Madden', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
167,ksharpe@hotmail.es.test,Kelvin,Sharpe,+1-607-212-1483,1976-03-03,3,3,VIP,"{'last_name': 'Bailey', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
168,nikolas697@kakao.com.test,Nikolas,Bryant,+1-879-914-1467,1970-06-15,3,2,Retailer,"{'last_name': 'Todd', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
169,julianafrench@icloud.uk.test,Juliana,French,+1-244-809-6406,1963-08-16,5,1,VIP,"{'last_name': 'Zamora', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
170,theodoreholloway@videotron.ca.test,Theodore,Holloway,+1-347-865-3899,1950-07-25,4,5,Wholesale,"{'last_name': 'Lyons', 'gender': 'M'}",Active,2025-12-12 16:43:11
171,wyatt.mccray@hotmail.vn.test,Wyatt,Mccray,+1-418-574-2710,2004-04-25,5,4,VIP,"{'last_name': 'Lloyd', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
172,karson65@gmx.com.test,Karson,Eriksson,+1-982-990-7349,1993-09-10,4,2,Retailer,"{'last_name': 'Pate', 'gender': 'F'}",Active,2025-12-12 16:43:11
173,jfranco@hotmail.qa.test,Jessica,Franco,+1-694-907-4187,1982-12-09,4,3,Retailer,"{'last_name': 'Clayton', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
174,imani602@terra.es.test,Imani,Best,+1-220-960-7888,1978-08-10,5,5,VIP,"{'last_name': 'Whitaker', 'gender': 'M'}",Active,2025-12-12 16:43:11
175,bflowers@lineone.net.test,Bodhi,Flowers,+1-247-466-5941,1957-03-19,4,3,Wholesale,"{'last_name': 'Spencer', 'gender': 'F'}",Active,2025-12-12 16:43:11
176,nikolai.hamilton@hotmail.vn.test,Nikolai,Hamilton,+1-674-297-6000,1965-07-10,2,1,Retailer,"{'last_name': 'Newman', 'gender': 'M'}",Active,2025-12-12 16:43:11
177,ondrejlunde@hotmail.co.il.test,Ondrej,Lunde,+1-786-503-1242,1996-11-20,4,5,Wholesale,"{'last_name': 'Ewing', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
178,jdelaney@tiscali.it.test,Jules,Delaney,+1-503-653-2693,1985-08-26,2,4,General,"{'last_name': 'Rasmussen', 'gender': 'F'}",Active,2025-12-12 16:43:11
179,noah430@outlook.om.test,Noah,Frost,+1-551-385-3724,1982-03-22,4,2,General,"{'last_name': 'Stevens', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
180,riggs332@hotmail.ve.test,Riggs,Nash,+1-894-744-5904,1999-09-24,1,5,General,"{'last_name': 'Haley', 'gender': 'F'}",Active,2025-12-12 16:43:11
181,amiramendez@volny.cz.test,Amira,Mendez,+1-296-528-8321,1963-08-25,3,4,General,"{'last_name': 'Phillips', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
182,rodrigo343@hotmail.qa.test,Rodrigo,Serrano,+1-665-814-7231,1986-03-04,1,3,Retailer,"{'last_name': 'Wade', 'gender': 'F'}",Active,2025-12-12 16:43:11
183,gfrench@telia.com.test,Georgina,French,+1-396-870-2066,1958-05-08,5,3,VIP,"{'last_name': 'Bowen', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
184,oscar.shaw@tuta.com.test,Oscar,Shaw,+1-678-464-1565,1982-04-30,5,5,Wholesale,"{'last_name': 'Knight', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
185,arthur153@yandex.ru.test,Arthur,Noel,+1-708-453-1100,1972-09-08,1,3,General,"{'last_name': 'Marks', 'gender': 'F'}",Active,2025-12-12 16:43:11
186,dominic917@nauta.cu.test,Dominic,Chandler,+1-831-324-4152,1966-12-04,2,1,Retailer,"{'last_name': 'Burnett', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
187,celeste.rasmussen@tiscali.it.test,Celeste,Rasmussen,+1-242-572-7405,1970-02-07,2,4,Wholesale,"{'last_name': 'Finley', 'gender': 'M'}",Active,2025-12-12 16:43:11
188,kaleb.weaver@gmail.bh.test,Kaleb,Weaver,+1-419-377-8239,1951-04-09,3,5,Retailer,"{'last_name': 'Nash', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
189,mbuchanan@list.ru.test,Malia,Buchanan,+1-810-448-7023,1995-09-07,1,5,Retailer,"{'last_name': 'Rodrigues', 'gender': 'M'}",Active,2025-12-12 16:43:11
190,carolina858@gmx.com.test,Carolina,Wilkins,+1-548-537-5370,1976-04-17,3,2,Wholesale,"{'last_name': 'Buck', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
191,lucas105@fibertel.com.ar.test,Lucas,Faulkner,+1-265-946-4153,1975-10-13,1,5,Wholesale,"{'last_name': 'Singleton', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
192,aksel251@msn.com.test,Aksel,Dotson,+1-470-938-5448,1987-08-06,5,5,Retailer,"{'last_name': 'Svoboda', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
193,dominik257@outlook.bh.test,Dominik,Jennings,+1-716-589-8213,1972-01-16,5,3,Retailer,"{'last_name': 'Leblanc', 'gender': 'F'}",Active,2025-12-12 16:43:11
194,kannonbowman@outlook.es.test,Kannon,Bowman,+1-353-486-1918,1981-09-19,3,4,General,"{'last_name': 'Carpenter', 'gender': 'M'}",Active,2025-12-12 16:43:11
195,prodrigues@sky.com.test,Paul,Rodrigues,+1-392-363-6257,1965-12-04,5,5,General,"{'last_name': 'Grant', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
196,penny.byers@vtr.net.test,Penny,Byers,+1-620-427-3769,1961-09-11,3,3,Wholesale,"{'last_name': 'Vargas', 'gender': 'M'}",Active,2025-12-12 16:43:11
197,ole.ramirez@airtelmail.in.test,Ole,Ramirez,+1-410-477-6607,1989-07-10,4,1,VIP,"{'last_name': 'Dupont', 'gender': 'M'}",Active,2025-12-12 16:43:11
198,paisley.berg@gmail.ro.test,Paisley,Berg,+1-972-852-1700,1967-03-04,4,2,General,"{'last_name': 'Foley', 'gender': 'M'}",Active,2025-12-12 16:43:11
199,isaac18@sympatico.ca.test,Isaac,Lopez,+1-539-980-3369,1959-08-05,3,4,Retailer,"{'last_name': 'Lang', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
200,journeesnyder@hotmail.vn.test,Journee,Snyder,+1-891-403-8995,1974-06-06,5,3,General,"{'last_name': 'Nixon', 'gender': 'F'}",Active,2025-12-12 16:43:11
201,fbarber@outlook.co.test,Finnegan,Barber,+1-218-402-6342,1950-11-03,4,3,VIP,"{'last_name': 'Whitman', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
202,kvega@hotmail.ie.test,Kelsey,Vega,+1-918-702-2619,1970-07-01,5,1,Retailer,"{'last_name': 'Gustafsson', 'gender': 'M'}",Active,2025-12-12 16:43:11
203,taylortaylor@yahoo.co.uk.test,Taylor,Taylor,+1-851-718-7943,1996-08-10,3,4,VIP,"{'last_name': 'Ferrari', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
204,hazel248@indiatimes.com.test,Hazel,Wade,+1-526-946-8258,1979-07-08,1,1,Retailer,"{'last_name': 'Beckett', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
205,keyla.hyde@optusnet.com.au.test,Keyla,Hyde,+1-464-249-7530,1970-10-03,1,1,VIP,"{'last_name': 'Valencia', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
206,zbanks@mail.ee.test,Zeke,Banks,+1-639-971-5355,1986-12-05,4,5,Retailer,"{'last_name': 'Marks', 'gender': 'F'}",Active,2025-12-12 16:43:11
207,ibrahim.alford@yahoo.co.jp.test,Ibrahim,Alford,+1-425-281-4987,1976-01-27,3,2,Retailer,"{'last_name': 'Foreman', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
208,mbianchi@hanmail.net.test,Memphis,Bianchi,+1-712-312-3442,1979-01-08,2,4,Wholesale,"{'last_name': 'Cross', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
209,ekarlsen@gmail.ph.test,Emmy,Karlsen,+1-317-836-2412,1953-09-07,5,1,Wholesale,"{'last_name': 'Roach', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
210,rpage@icloud.fr.test,Riley,Page,+1-714-301-2342,1966-03-12,2,2,General,"{'last_name': 'Collins', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
211,nalani.robertson@mac.com.test,Nalani,Robertson,+1-821-322-5859,1976-04-26,1,3,Wholesale,"{'last_name': 'Schwarz', 'gender': 'M'}",Active,2025-12-12 16:43:11
212,jaime883@icloud.fr.test,Jaime,Briggs,+1-222-404-7121,1987-11-08,1,4,Retailer,"{'last_name': 'White', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
213,sophia.williams@outlook.com.test,Sophia,Williams,+1-257-407-5009,1958-07-05,2,5,VIP,"{'last_name': 'Cleveland', 'gender': 'F'}",Active,2025-12-12 16:43:11
214,jessica375@online.no.test,Jessica,Beckett,+1-748-430-7363,1986-02-09,2,2,Retailer,"{'last_name': 'Villarreal', 'gender': 'F'}",Active,2025-12-12 16:43:11
215,jpotts@rediffmail.com.test,Jules,Potts,+1-477-803-2893,1956-03-14,2,2,Wholesale,"{'last_name': 'Sanchez', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
216,scarlett.gillespie@countermail.com.test,Scarlett,Gillespie,+1-291-524-9518,1966-02-19,2,3,Wholesale,"{'last_name': 'Perez', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
217,eoin.johnson@protonmail.com.test,Eoin,Johnson,+1-708-802-6591,2000-07-04,3,1,General,"{'last_name': 'Schmidt', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
218,raymond332@qq.com.test,Raymond,Montgomery,+1-931-567-7951,1975-03-25,5,2,General,"{'last_name': 'Mccarthy', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
219,yasmine632@hotmail.tr.test,Yasmine,Hamilton,+1-500-616-5511,1977-08-28,4,3,Wholesale,"{'last_name': 'Adams', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
220,andrewparks@post.sk.test,Andrew,Parks,+1-864-509-5370,1970-11-29,5,3,Wholesale,"{'last_name': 'Roberson', 'gender': 'F'}",Active,2025-12-12 16:43:11
221,lfranco@gmail.vn.test,Lee,Franco,+1-700-361-5406,2004-03-23,2,2,General,"{'last_name': 'Guzman', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
222,philippineda@outlook.sa.test,Philip,Pineda,+1-329-893-8364,1985-05-20,3,1,Retailer,"{'last_name': 'Medina', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
223,terry319@gmail.ph.test,Terry,Collier,+1-442-566-1709,2000-03-13,3,2,Retailer,"{'last_name': 'Perry', 'gender': 'F'}",Active,2025-12-12 16:43:11
224,penelopepettersson@protonmail.com.test,Penelope,Pettersson,+1-251-662-8190,1992-09-03,1,3,General,"{'last_name': 'Bates', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
225,zahir798@virgilio.it.test,Zahir,Marks,+1-963-954-4125,1989-11-23,5,4,Wholesale,"{'last_name': 'Santos', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
226,blakemccall@rediffmailpro.com.test,Blake,Mccall,+1-957-943-9533,1972-10-19,1,1,General,"{'last_name': 'Bates', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
227,sawyer.sweet@bluewin.ch.test,Sawyer,Sweet,+1-365-884-4549,1951-09-14,1,5,Retailer,"{'last_name': 'Jackson', 'gender': 'F'}",Active,2025-12-12 16:43:11
228,henry.middleton@gmail.id.test,Henry,Middleton,+1-285-752-2324,1966-08-11,5,5,General,"{'last_name': 'Martinez', 'gender': 'F'}",Active,2025-12-12 16:43:11
229,hallie.nolan@superonline.com.test,Hallie,Nolan,+1-810-421-5561,1956-05-12,4,2,Wholesale,"{'last_name': 'Garza', 'gender': 'M'}",Active,2025-12-12 16:43:11
230,zachary38@hotmail.com.test,Zachary,Singleton,+1-719-782-4599,1993-09-13,2,1,Retailer,"{'last_name': 'Lunde', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
231,grace.jordan@daum.net.test,Grace,Jordan,+1-460-919-9511,1991-05-08,5,1,General,"{'last_name': 'Zamora', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
232,robert792@hotmail.nl.test,Robert,Little,+1-205-233-6239,1998-07-11,1,3,General,"{'last_name': 'Patterson', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
233,finnegan634@bredband.net.test,Finnegan,Vinson,+1-988-372-7510,1953-04-19,5,4,General,"{'last_name': 'Moreau', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
234,terry.pineda@yahoo.lk.test,Terry,Pineda,+1-706-412-8158,1999-08-07,5,4,Wholesale,"{'last_name': 'Brooks', 'gender': 'M'}",Active,2025-12-12 16:43:11
235,mholland@entelchile.net.test,Madilynn,Holland,+1-395-444-2566,1993-07-01,4,1,VIP,"{'last_name': 'Downs', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
236,zakai.beach@seznam.cz.test,Zakai,Beach,+1-865-962-6134,2003-06-22,4,4,Retailer,"{'last_name': 'Lopez', 'gender': 'F'}",Active,2025-12-12 16:43:11
237,elizabeth605@hotmail.cl.test,Elizabeth,Cooper,+1-300-661-1855,1984-05-24,3,3,Wholesale,"{'last_name': 'Esposito', 'gender': 'M'}",Active,2025-12-12 16:43:11
238,dorian.dean@gazeta.pl.test,Dorian,Dean,+1-568-414-2987,1966-11-18,5,2,General,"{'last_name': 'Bergstrom', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
239,roselyn.iglesias@yahoo.com.my.test,Roselyn,Iglesias,+1-716-348-4405,1982-02-08,2,2,VIP,"{'last_name': 'Möller', 'gender': 'M'}",Active,2025-12-12 16:43:11
240,shanedeleon@yahoo.co.id.test,Shane,Deleon,+1-394-422-9035,1986-01-13,4,1,Wholesale,"{'last_name': 'Robinson', 'gender': 'F'}",Active,2025-12-12 16:43:11
241,chandlergreene@gmail.com.test,Chandler,Greene,+1-266-767-1203,1981-10-12,3,3,Wholesale,"{'last_name': 'Brock', 'gender': 'F'}",Active,2025-12-12 16:43:11
242,catalinanovak@126.com.test,Catalina,Novak,+1-242-314-3731,1951-09-27,5,1,VIP,"{'last_name': 'Saunders', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
243,jforeman@gmx.de.test,Joyce,Foreman,+1-939-481-4278,1987-11-29,5,2,General,"{'last_name': 'Moore', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
244,khloebyers@list.ru.test,Khloe,Byers,+1-264-270-8373,1959-06-09,1,5,Wholesale,"{'last_name': 'Tate', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
245,nathanael495@outlook.com.au.test,Nathanael,Jacobs,+1-994-385-2900,1999-06-18,1,5,Retailer,"{'last_name': 'Hyde', 'gender': 'M'}",Active,2025-12-12 16:43:11
246,nolanberger@online.de.test,Nolan,Berger,+1-683-775-3662,2005-05-17,5,5,General,"{'last_name': 'Guerrero', 'gender': 'F'}",Active,2025-12-12 16:43:11
247,samuelcoleman@hotmail.nl.test,Samuel,Coleman,+1-952-625-9244,1995-05-09,2,2,VIP,"{'last_name': 'Larson', 'gender': 'M'}",Active,2025-12-12 16:43:11
248,manuelbauer@yahoo.de.test,Manuel,Bauer,+1-338-942-1828,1951-05-17,4,3,VIP,"{'last_name': 'Bailey', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
249,terry782@telia.com.test,Terry,Hughes,+1-989-341-9666,1993-02-06,1,4,Retailer,"{'last_name': 'Bates', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
250,kathryn.mejia@live.com.test,Kathryn,Mejia,+1-602-596-2360,1950-12-07,3,5,VIP,"{'last_name': 'Parks', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
251,rmcclellan@live.com.mx.test,Raphaël,Mcclellan,+1-372-908-8132,1989-09-20,4,3,General,"{'last_name': 'Reyes', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
252,hudsonmontgomery@hotmail.tr.test,Hudson,Montgomery,+1-822-284-1148,1961-05-25,3,2,Wholesale,"{'last_name': 'Lang', 'gender': 'F'}",Active,2025-12-12 16:43:11
253,nico.patterson@outlook.ca.test,Nico,Patterson,+1-334-359-5233,1957-12-28,1,3,Retailer,"{'last_name': 'Flowers', 'gender': 'M'}",Active,2025-12-12 16:43:11
254,jules.hudson@rambler.ru.test,Jules,Hudson,+1-254-659-1364,2001-01-26,1,1,VIP,"{'last_name': 'Bowen', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
255,vincent.spencer@hotmail.id.test,Vincent,Spencer,+1-652-415-8626,2005-09-06,2,5,General,"{'last_name': 'Woodward', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
256,maxpennington@hot.ee.test,Max,Pennington,+1-741-653-7520,1960-02-22,5,2,Retailer,"{'last_name': 'Foster', 'gender': 'F'}",Active,2025-12-12 16:43:11
257,lucia292@yahoo.lk.test,Lucia,Hoover,+1-432-252-6964,1978-01-30,1,2,Retailer,"{'last_name': 'Novotny', 'gender': 'M'}",Active,2025-12-12 16:43:11
258,jocelyn.o’sullivan@hot.ee.test,Jocelyn,O’Sullivan,+1-476-216-3179,1951-07-12,1,4,Wholesale,"{'last_name': 'Cummings', 'gender': 'F'}",Active,2025-12-12 16:43:11
259,rjames@ziggo.nl.test,Raphael,James,+1-915-960-7182,1996-06-02,1,3,Retailer,"{'last_name': 'Cooley', 'gender': 'F'}",Active,2025-12-12 16:43:11
260,brinleymacdonald@runbox.com.test,Brinley,Macdonald,+1-956-760-1827,1982-05-11,5,1,General,"{'last_name': 'Nicholson', 'gender': 'F'}",Active,2025-12-12 16:43:11
261,zara.karlsen@hotmail.tr.test,Zara,Karlsen,+1-483-498-2341,2003-03-17,4,2,VIP,"{'last_name': 'Kubík', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
262,karsonhenderson@hotmail.om.test,Karson,Henderson,+1-704-300-7329,2001-10-14,5,3,General,"{'last_name': 'Espinoza', 'gender': 'M'}",Active,2025-12-12 16:43:11
263,hcosta@zoho.com.test,Hannah,Costa,+1-864-676-9732,1959-11-08,4,1,General,"{'last_name': 'Shaw', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
264,barbara616@outlook.mx.test,Barbara,Stevens,+1-489-915-2325,1978-09-01,5,2,General,"{'last_name': 'Richardson', 'gender': 'M'}",Active,2025-12-12 16:43:11
265,rpeterson@gmail.lk.test,Ramon,Peterson,+1-881-576-9929,1955-08-23,1,5,General,"{'last_name': 'Mcclellan', 'gender': 'M'}",Active,2025-12-12 16:43:11
266,daxton447@outlook.kw.test,Daxton,Walker,+1-934-337-1680,1971-08-05,4,4,Retailer,"{'last_name': 'Sexton', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
267,jnieves@kakao.com.test,Jayda,Nieves,+1-501-517-8912,1990-02-10,2,1,Retailer,"{'last_name': 'Holland', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
268,oskarhaugen@hotmail.ae.test,Oskar,Haugen,+1-272-672-2575,1969-03-01,1,2,Wholesale,"{'last_name': 'James', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
269,nicholas.leblanc@hot.ee.test,Nicholas,Leblanc,+1-751-703-1319,1967-09-07,1,2,General,"{'last_name': 'Davis', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
270,acosta@t-online.hu.test,Alexander,Costa,+1-203-774-7619,1954-03-13,3,1,Retailer,"{'last_name': 'Hudson', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
271,patrick.suarez@netvision.net.il.test,Patrick,Suarez,+1-930-639-1428,1977-03-05,4,1,VIP,"{'last_name': 'Peterson', 'gender': 'M'}",Active,2025-12-12 16:43:11
272,sbarr@zoho.com.test,Savannah,Barr,+1-809-354-6491,1974-02-13,4,1,Wholesale,"{'last_name': 'Nixon', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
273,yaragates@gmail.id.test,Yara,Gates,+1-367-928-5744,1987-11-24,4,1,General,"{'last_name': 'Shepherd', 'gender': 'F'}",Active,2025-12-12 16:43:11
274,rebekah.benjamin@outlook.nl.test,Rebekah,Benjamin,+1-673-490-5822,2003-01-16,5,5,Retailer,"{'last_name': 'Joseph', 'gender': 'M'}",Active,2025-12-12 16:43:11
275,carolina.cote@internode.on.net.test,Carolina,Cote,+1-837-578-6057,1986-03-17,4,2,Retailer,"{'last_name': 'Johansen', 'gender': 'M'}",Active,2025-12-12 16:43:11
276,njordan@outlook.com.au.test,Nico,Jordan,+1-581-830-2989,1955-12-30,3,3,VIP,"{'last_name': 'Gomez', 'gender': 'F'}",Active,2025-12-12 16:43:11
277,bjohnson@bezeqint.net.test,Belen,Johnson,+1-311-315-7389,1996-05-26,3,5,Retailer,"{'last_name': 'Navarro', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
278,dantequintero@interia.pl.test,Dante,Quintero,+1-457-273-9184,1950-08-11,5,1,VIP,"{'last_name': 'Almeida', 'gender': 'M'}",Active,2025-12-12 16:43:11
279,rosalie959@hotmail.ro.test,Rosalie,Maldonado,+1-261-209-8364,1953-10-07,5,5,Retailer,"{'last_name': 'Rowland', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
280,cgrant@tutanota.com.test,Chloe,Grant,+1-886-931-8354,1982-07-23,1,5,Wholesale,"{'last_name': 'Morris', 'gender': 'M'}",Active,2025-12-12 16:43:11
281,hcross@zoho.in.test,Henry,Cross,+1-511-918-5404,1998-09-23,4,5,VIP,"{'last_name': 'Monroe', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
282,ullacolombo@indiatimes.com.test,Ulla,Colombo,+1-206-936-8406,1974-11-06,2,5,Wholesale,"{'last_name': 'Hoffman', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
283,yael.rowe@hotmail.ro.test,Yael,Rowe,+1-451-772-9352,1990-04-11,1,1,Retailer,"{'last_name': 'Mccollum', 'gender': 'F'}",Active,2025-12-12 16:43:11
284,riley118@163.com.test,Riley,Johns,+1-495-227-9059,1997-09-09,2,3,VIP,"{'last_name': 'Carpenter', 'gender': 'M'}",Active,2025-12-12 16:43:11
285,sean546@volny.cz.test,Sean,Schneider,+1-895-846-7332,1992-09-23,1,4,Retailer,"{'last_name': 'Sosa', 'gender': 'F'}",Active,2025-12-12 16:43:11
286,smaxwell@hotmail.hu.test,Sage,Maxwell,+1-712-630-2438,1951-02-14,4,1,Wholesale,"{'last_name': 'Rice', 'gender': 'M'}",Active,2025-12-12 16:43:11
287,anelson@shaw.ca.test,Alaya,Nelson,+1-865-938-4193,1966-04-13,5,2,Wholesale,"{'last_name': 'Shaw', 'gender': 'F'}",Active,2025-12-12 16:43:11
288,ophelia671@me.com.test,Ophelia,Griffith,+1-934-638-8727,1975-07-16,3,4,Retailer,"{'last_name': 'Frost', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
289,nturner@netvision.net.il.test,Nalani,Turner,+1-685-483-9263,1979-06-12,5,5,Wholesale,"{'last_name': 'Sullivan', 'gender': 'M'}",Active,2025-12-12 16:43:11
290,chandlergillespie@swissonline.ch.test,Chandler,Gillespie,+1-856-377-7425,1952-10-31,5,4,VIP,"{'last_name': 'Bradley', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
291,rnixon@shaw.ca.test,Robert,Nixon,+1-629-629-7660,2003-08-23,4,4,VIP,"{'last_name': 'Jordan', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
292,gabriele.leblanc@kolumbus.com.test,Gabriele,Leblanc,+1-933-647-2511,1991-06-13,4,3,VIP,"{'last_name': 'Finley', 'gender': 'M'}",Active,2025-12-12 16:43:11
293,sarah.garza@xtra.co.nz.test,Sarah,Garza,+1-371-389-4843,1968-02-25,1,5,VIP,"{'last_name': 'Král', 'gender': 'M'}",Active,2025-12-12 16:43:11
294,holden.ellis@kakao.com.test,Holden,Ellis,+1-877-379-2076,1959-09-04,5,3,VIP,"{'last_name': 'Ward', 'gender': 'M'}",Active,2025-12-12 16:43:11
295,einar.nixon@tiscali.it.test,Einar,Nixon,+1-773-997-7283,2001-06-24,4,1,General,"{'last_name': 'Byrne', 'gender': 'F'}",Active,2025-12-12 16:43:11
296,ashlynn74@volny.cz.test,Ashlynn,Rogers,+1-741-962-7690,1964-10-22,2,3,General,"{'last_name': 'Beach', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
297,pablo.mcpherson@airtelmail.in.test,Pablo,Mcpherson,+1-303-794-2641,1979-07-19,2,4,Retailer,"{'last_name': 'Meyer', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
